Problem,Method,Seed,Period,Error,Success Rate
SLSTR,PushGP+EP+ARM,1001,Train,45.0,False
SLSTR,PushGP+EP+ARM,1001,Test,855.0,False
SLSTR,PushGP+EP+ARM,1002,Train,0.0,True
SLSTR,PushGP+EP+ARM,1002,Test,0.0,True
SLSTR,PushGP+EP+ARM,1003,Train,0.0,True
SLSTR,PushGP+EP+ARM,1003,Test,0.0,True
SLSTR,PushGP+EP+ARM,1004,Train,30.0,False
SLSTR,PushGP+EP+ARM,1004,Test,272.0,False
SLSTR,PushGP+EP+ARM,1005,Train,0.0,True
SLSTR,PushGP+EP+ARM,1005,Test,0.0,True
SLSTR,PushGP+EP+ARM,1006,Train,45.0,False
SLSTR,PushGP+EP+ARM,1006,Test,260.0,False
SLSTR,PushGP+EP+ARM,1007,Train,5.0,False
SLSTR,PushGP+EP+ARM,1007,Test,152.0,False
SLSTR,PushGP+EP+ARM,1008,Train,40.0,False
SLSTR,PushGP+EP+ARM,1008,Test,1087.0,False
SLSTR,PushGP+EP+ARM,1009,Train,0.0,True
SLSTR,PushGP+EP+ARM,1009,Test,50.0,False
SLSTR,PushGP+EP+ARM,1010,Train,15.0,False
SLSTR,PushGP+EP+ARM,1010,Test,50.0,False
SLSTR,PushGP+EP+ARM,1011,Train,10.0,False
SLSTR,PushGP+EP+ARM,1011,Test,841.0,False
SLSTR,PushGP+EP+ARM,1012,Train,0.0,True
SLSTR,PushGP+EP+ARM,1012,Test,5.0,False
SLSTR,PushGP+EP+ARM,1013,Train,0.0,True
SLSTR,PushGP+EP+ARM,1013,Test,0.0,True
SLSTR,PushGP+EP+ARM,1014,Train,5.0,False
SLSTR,PushGP+EP+ARM,1014,Test,15.0,False
SLSTR,PushGP+EP+ARM,1015,Train,59.0,False
SLSTR,PushGP+EP+ARM,1015,Test,1002.0,False
SLSTR,PushGP+EP+ARM,1016,Train,55.0,False
SLSTR,PushGP+EP+ARM,1016,Test,600.0,False
SLSTR,PushGP+EP+ARM,1017,Train,0.0,True
SLSTR,PushGP+EP+ARM,1017,Test,0.0,True
SLSTR,PushGP+EP+ARM,1018,Train,5.0,False
SLSTR,PushGP+EP+ARM,1018,Test,15.0,False
SLSTR,PushGP+EP+ARM,1019,Train,0.0,True
SLSTR,PushGP+EP+ARM,1019,Test,339.0,False
SLSTR,PushGP+EP+ARM,1020,Train,55.0,False
SLSTR,PushGP+EP+ARM,1020,Test,1160.0,False
SLSTR,PushGP+EP+ARM,1021,Train,30.0,False
SLSTR,PushGP+EP+ARM,1021,Test,647.0,False
SLSTR,PushGP+EP+ARM,1022,Train,50.0,False
SLSTR,PushGP+EP+ARM,1022,Test,585.0,False
SLSTR,PushGP+EP+ARM,1023,Train,0.0,True
SLSTR,PushGP+EP+ARM,1023,Test,0.0,True
SLSTR,PushGP+EP+ARM,1024,Train,0.0,True
SLSTR,PushGP+EP+ARM,1024,Test,0.0,True
SLSTR,PushGP+EP+ARM,1025,Train,0.0,True
SLSTR,PushGP+EP+ARM,1025,Test,0.0,True
SLSTR,PushGP,1001,Train,55.0,False
SLSTR,PushGP,1001,Test,660.0,False
SLSTR,PushGP,1002,Train,50.0,False
SLSTR,PushGP,1002,Test,580.0,False
SLSTR,PushGP,1003,Train,5.0,False
SLSTR,PushGP,1003,Test,180.0,False
SLSTR,PushGP,1004,Train,75.0,False
SLSTR,PushGP,1004,Test,1375.0,False
SLSTR,PushGP,1005,Train,45.0,False
SLSTR,PushGP,1005,Test,545.0,False
SLSTR,PushGP,1006,Train,80.0,False
SLSTR,PushGP,1006,Test,1000.0,False
SLSTR,PushGP,1007,Train,85.0,False
SLSTR,PushGP,1007,Test,800.0,False
SLSTR,PushGP,1008,Train,81.0,False
SLSTR,PushGP,1008,Test,512.0,False
SLSTR,PushGP,1009,Train,75.0,False
SLSTR,PushGP,1009,Test,955.0,False
SLSTR,PushGP,1010,Train,15.0,False
SLSTR,PushGP,1010,Test,275.0,False
SLSTR,PushGP,1011,Train,69.0,False
SLSTR,PushGP,1011,Test,611.0,False
SLSTR,PushGP,1012,Train,75.0,False
SLSTR,PushGP,1012,Test,650.0,False
SLSTR,PushGP,1013,Train,55.0,False
SLSTR,PushGP,1013,Test,185.0,False
SLSTR,PushGP,1014,Train,80.0,False
SLSTR,PushGP,1014,Test,865.0,False
SLSTR,PushGP,1015,Train,25.0,False
SLSTR,PushGP,1015,Test,65.0,False
SLSTR,PushGP,1016,Train,60.0,False
SLSTR,PushGP,1016,Test,515.0,False
SLSTR,PushGP,1017,Train,65.0,False
SLSTR,PushGP,1017,Test,520.0,False
SLSTR,PushGP,1018,Train,60.0,False
SLSTR,PushGP,1018,Test,545.0,False
SLSTR,PushGP,1019,Train,80.0,False
SLSTR,PushGP,1019,Test,4072.0,False
SLSTR,PushGP,1020,Train,75.0,False
SLSTR,PushGP,1020,Test,815.0,False
SLSTR,PushGP,1021,Train,70.0,False
SLSTR,PushGP,1021,Test,1712.0,False
SLSTR,PushGP,1022,Train,70.0,False
SLSTR,PushGP,1022,Test,735.0,False
SLSTR,PushGP,1023,Train,65.0,False
SLSTR,PushGP,1023,Test,775.0,False
SLSTR,PushGP,1024,Train,0.0,True
SLSTR,PushGP,1024,Test,0.0,True
SLSTR,PushGP,1025,Train,70.0,False
SLSTR,PushGP,1025,Test,580.0,False
SLSTR,PushGP+EP+RRM,1001,Train,5.0,False
SLSTR,PushGP+EP+RRM,1001,Test,0.0,False
SLSTR,PushGP+EP+RRM,1002,Train,0.0,True
SLSTR,PushGP+EP+RRM,1002,Test,0.0,True
SLSTR,PushGP+EP+RRM,1003,Train,0.0,True
SLSTR,PushGP+EP+RRM,1003,Test,0.0,True
SLSTR,PushGP+EP+RRM,1004,Train,25.0,False
SLSTR,PushGP+EP+RRM,1004,Test,110.0,False
SLSTR,PushGP+EP+RRM,1005,Train,0.0,True
SLSTR,PushGP+EP+RRM,1005,Test,0.0,True
SLSTR,PushGP+EP+RRM,1006,Train,40.0,False
SLSTR,PushGP+EP+RRM,1006,Test,200.0,False
SLSTR,PushGP+EP+RRM,1007,Train,5.0,False
SLSTR,PushGP+EP+RRM,1007,Test,410.0,False
SLSTR,PushGP+EP+RRM,1008,Train,0.0,True
SLSTR,PushGP+EP+RRM,1008,Test,0.0,True
SLSTR,PushGP+EP+RRM,1009,Train,0.0,True
SLSTR,PushGP+EP+RRM,1009,Test,0.0,True
